"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
060903,HUARANGO, 18 874, 18 766, 18 607, 18 384, 18 131
060904,LA COIPA, 20 778, 21 032, 21 229, 21 354, 21 446
060905,NAMBALLE, 9 967, 9 970, 9 945, 9 885, 9 809
060906,SAN JOSÉ DE LOURDES, 19 570, 19 757, 19 890, 19 955, 19 989
060907,TABACONAS, 19 548, 19 776, 19 954, 20 068, 20 155
061000,SAN MARCOS, 51 448, 51 633, 51 678, 51 882, 52 012
061001,PEDRO GÁLVEZ, 21 245, 21 494, 21 685, 21 941, 22 165
061002,CHANCAY, 3 099, 3 088, 3 069, 3 058, 3 042
061003,EDUARDO VILLANUEVA, 2 903, 2 975, 3 039, 3 114, 3 186
061004,GREGORIO PITA, 5 406, 5 284, 5 150, 5 035, 4 913
061005,ICHOCAN, 1 995, 1 987, 1 971, 1 961, 1 950
061006,JOSÉ MANUEL QUIROZ, 3 703, 3 670, 3 627, 3 595, 3 558
061007,JOSÉ SABOGAL, 13 097, 13 135, 13 137, 13 178, 13 198
061100,SAN MIGUEL, 48 330, 47 782, 47 114, 46 468, 45 681
061101,SAN MIGUEL, 14 260, 14 167, 14 036, 13 919, 13 767
061102,BOLÍVAR, 1 359, 1 336, 1 310, 1 285, 1 252
061103,CALQUIS, 4 298, 4 295, 4 281, 4 273, 4 260
061104,CATILLUC, 2 890, 2 855, 2 813, 2 772, 2 721
061105,EL PRADO, 1 699, 1 680, 1 657, 1 635, 1 608
061106,LA FLORIDA, 2 216, 2 193, 2 165, 2 138, 2 105
061107,LLAPA, 4 689, 4 633, 4 563, 4 497, 4 414
061108,NANCHOC, 1 374, 1 373, 1 370, 1 368, 1 365
061109,NIEPOS, 3 434, 3 359, 3 276, 3 193, 3 089
061110,SAN GREGORIO, 2 306, 2 293, 2 274, 2 257, 2 236
061111,SAN SILVESTRE DE COCHÁN, 3 840, 3 781, 3 711, 3 643, 3 558
061112,TONGOD, 2 756, 2 644, 2 530, 2 402, 2 274
061113,UNIÓN AGUA BLANCA, 3 209, 3 173, 3 128, 3 086, 3 032
061200,SAN PABLO, 22 657, 22 677, 22 638, 22 449, 22 225
061201,SAN PABLO, 13 417, 13 457, 13 460, 13 372, 13 263
061202,SAN BERNARDINO, 4 590, 4 590, 4 578, 4 536, 4 487
061203,SAN LUIS,  983,  953,  922,  886,  850
061204,TUMBADEN, 3 667, 3 677, 3 678, 3 655, 3 625
061300,SANTA CRUZ, 39 294, 38 999, 38 602, 38 219, 37 717
061301,SANTA CRUZ, 9 814, 9 799, 9 756, 9 715, 9 640
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
061302,ANDABAMBA, 1 371, 1 343, 1 311, 1 280, 1 247
061303,CATACHE, 9 808, 9 852, 9 870, 9 891, 9 875
061304,CHANCAYBAÑOS, 3 532, 3 505, 3 468, 3 432, 3 386
061305,LA ESPERANZA, 2 426, 2 391, 2 351, 2 311, 2 264
061306,NINABAMBA, 2 131, 2 067, 1 999, 1 933, 1 864
061307,PULAN, 4 026, 3 962, 3 887, 3 815, 3 731
061308,SAUCEPAMPA, 1 482, 1 442, 1 399, 1 357, 1 314
061309,SEXI,  447,  443,  437,  433,  426
061310,UTICYACU, 1 310, 1 284, 1 255, 1 226, 1 194
061311,YAUYUCÁN, 2 947, 2 911, 2 869, 2 826, 2 776
,,,,,,
070000,PROV. CONST. DEL CALLAO,1 078 789,1 105 512,1 129 854,1 151 480,1 171 648
070100,CALLAO,1 078 789,1 105 512,1 129 854,1 151 480,1 171 648
070101,CALLAO, 492 879, 503 234, 512 386, 520 709, 528 405
070102,BELLAVISTA, 79 358, 80 139, 80 704, 81 122, 81 428
070103,CARMEN DE LA LEGUA REYNOSO, 45 396, 45 963, 46 409, 46 772, 47 071
070104,LA PERLA, 63 657, 64 142, 64 454, 64 524, 64 612
070105,LA PUNTA, 3 979, 3 963, 3 935, 3 902, 3 862
070106,VENTANILLA  , 343 900, 357 035, 369 618, 380 894, 391 564
070107,MI PERÚ  , 49 620, 51 036, 52 348, 53 557, 54 706
,,,,,,
080000,CUSCO,1 320 530,1 340 457,1 357 075,1 369 932,1 380 594
080100,CUSCO, 484 248, 498 169, 511 019, 520 558, 528 541
080101,CUSCO, 117 110, 117 821, 118 127, 118 510, 118 843
080102,CCORCA, 2 403, 2 408, 2 405, 2 407, 2 407
080103,POROY, 10 535, 11 418, 12 333, 12 969, 13 497
080104,SAN JERÓNIMO, 62 369, 66 405, 70 453, 73 312, 75 696
080105,SAN SEBASTIÁN, 122 835, 128 607, 134 182, 138 200, 141 559
080106,SANTIAGO, 100 663, 102 400, 103 817, 104 961, 105 919
080107,SAYLLA, 7 090, 7 702, 8 338, 8 779, 9 146
080108,WANCHAQ, 61 243, 61 408, 61 364, 61 420, 61 474
080200,ACOMAYO, 24 437, 24 251, 24 000, 23 855, 23 732
080201,ACOMAYO, 4 726, 4 678, 4 616, 4 579, 4 548
080202,ACOPIA, 2 964, 3 010, 3 048, 3 077, 3 102
080203,ACOS, 2 378, 2 367, 2 350, 2 341, 2 333
080204,MOSOC LLACTA, 1 167, 1 118, 1 069, 1 036, 1 007
080205,POMACANCHI, 7 701, 7 661, 7 598, 7 564, 7 537
080206,RONDOCÁN, 2 046, 1 982, 1 915, 1 871, 1 832
080207,SANGARARÁ, 3 455, 3 435, 3 404, 3 387, 3 373
080300,ANTA, 61 564, 62 428, 63 131, 63 665, 64 097
080301,ANTA, 23 817, 24 667, 25 464, 26 038, 26 512
080302,ANCAHUASI, 7 616, 7 711, 7 784, 7 835, 7 873
080303,CACHIMAYO, 2 615, 2 681, 2 742, 2 787, 2 823
080304,CHINCHAYPUJIO, 4 394, 4 370, 4 333, 4 311, 4 292
080305,HUAROCONDO, 4 796, 4 722, 4 634, 4 576, 4 528
080306,LIMATAMBO, 7 958, 7 868, 7 754, 7 681, 7 620
080307,MOLLEPATA, 3 395, 3 450, 3 496, 3 531, 3 559
080308,PUCYURA, 3 223, 3 199, 3 166, 3 146, 3 128
080309,ZURITE, 3 750, 3 760, 3 758, 3 760, 3 762
080400,CALCA, 70 370, 71 071, 71 582, 71 906, 72 114
080401,CALCA, 22 681, 23 082, 23 423, 23 653, 23 833
080402,COYA, 3 649, 3 652, 3 645, 3 639, 3 631
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
080403,LAMAY, 5 856, 5 920, 5 967, 5 997, 6 016
080404,LARES, 6 513, 6 472, 6 412, 6 368, 6 324
080405,PISAC, 11 214, 11 425, 11 607, 11 728, 11 817
080406,SAN SALVADOR, 6 002, 6 097, 6 175, 6 225, 6 258
080407,TARAY, 4 771, 4 832, 4 880, 4 911, 4 932
080408,YANATILE, 9 684, 9 591, 9 473, 9 385, 9 303
080500,CANAS, 35 199, 35 024, 34 754, 34 605, 34 487
080501,YANAOCA, 9 314, 9 302, 9 270, 9 256, 9 247
080502,CHECCA, 5 547, 5 523, 5 485, 5 464, 5 448
080503,KUNTURKANKI, 5 214, 5 204, 5 178, 5 166, 5 158
080504,LANGUI, 2 174, 2 142, 2 104, 2 079, 2 060
080505,LAYO, 5 635, 5 600, 5 548, 5 518, 5 495
080506,PAMPAMARCA, 1 909, 1 903, 1 889, 1 885, 1 878
080507,QUEHUE, 2 741, 2 704, 2 660, 2 632, 2 609
080508,TÚPAC AMARU, 2 665, 2 646, 2 620, 2 605, 2 592
080600,CANCHIS, 104 611, 105 685, 106 476, 106 990, 107 333
080601,SICUANI, 62 983, 63 931, 64 711, 65 225, 65 594
080602,CHECACUPE, 5 150, 5 191, 5 217, 5 235, 5 246
080603,COMBAPATA, 5 035, 5 038, 5 026, 5 017, 5 006
080604,MARANGANI, 10 479, 10 453, 10 399, 10 359, 10 320
080605,PITUMARCA, 8 126, 8 257, 8 366, 8 440, 8 496
080606,SAN PABLO, 4 542, 4 515, 4 475, 4 446, 4 420
080607,SAN PEDRO, 2 827, 2 821, 2 808, 2 798, 2 789
080608,TINTA, 5 469, 5 479, 5 474, 5 470, 5 462
080700,CHUMBIVILCAS, 70 794, 70 565, 70 143, 69 930, 69 763
080701,SANTO TOMÁS, 23 039, 22 958, 22 809, 22 733, 22 673
080702,CAPACMARCA, 4 185, 4 158, 4 119, 4 097, 4 079
080703,CHAMACA, 6 671, 6 596, 6 503, 6 445, 6 399
080704,COLQUEMARCA, 7 327, 7 228, 7 110, 7 036, 6 974
080705,LIVITACA, 12 575, 12 704, 12 798, 12 879, 12 949
080706,LLUSCO, 4 594, 4 462, 4 322, 4 227, 4 149
080707,QUIÑOTA, 4 051, 4 036, 4 010, 3 997, 3 986
080708,VELILLE, 8 352, 8 423, 8 472, 8 516, 8 554
080800,ESPINAR, 61 987, 62 108, 62 059, 62 098, 62 140
080801,ESPINAR, 37 493, 38 252, 38 886, 39 539, 40 173
080802,CONDOROMA,  919,  896,  872,  854,  839
080803,COPORAQUE, 10 632, 10 236, 9 824, 9 434, 9 055
080804,OCORURO, 1 074, 1 035,  995,  962,  931
080805,PALLPATA, 5 137, 5 130, 5 111, 5 094, 5 075
080806,PICHIGUA, 2 960, 2 896, 2 824, 2 767, 2 714
080807,SUYCKUTAMBO, 1 712, 1 640, 1 566, 1 498, 1 433
080808,ALTO PICHIGUA, 2 060, 2 023, 1 981, 1 950, 1 920
080900,LA CONVENCIÓN, 167 312, 167 846, 167 910, 168 159, 168 389
080901,SANTA ANA, 30 570, 30 330, 29 990, 29 744, 29 650
080902,ECHARATE  11/, 26 660, 26 006, 25 281, 18 650, 18 247
080903,HUAYOPATA, 5 545, 5 525, 5 487, 5 462, 5 440
080904,MARANURA, 5 448, 5 336, 5 209, 5 108, 5 017
080905,OCOBAMBA, 6 061, 6 025, 5 985, 5 944, 5 903
080906,QUELLOUNO, 15 173, 15 187, 15 150, 15 132, 15 112
080907,KIMBIRI   12/ 13/, 18 240, 18 702, 19 099, 13 688, 13 885
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
080908,SANTA TERESA, 6 972, 6 969, 6 945, 6 933, 6 921
080909,VILCABAMBA    , 10 464, 10 359, 10 240, 10 146, 10 058
080910,PICHARI  15/, 25 025, 26 160, 27 234, 22 680, 23 299
080911,INKAWASI  , 4 913, 4 979, 5 031, 5 079, 5 125
080912,VILLA VIRGEN  , 2 332, 2 365, 2 391, 2 416, 2 437
080913,VILLA KINTIARINA  , 2 322, 2 350, 2 369, 2 388, 2 405
080914,MEGANTONI   , 7 587, 7 553, 7 499, 7 461, 7 427
080915,KUMPIRUSHIATO  11/,Creado 2021,Creado 2021,Creado 2021, 6 054, 5 923
080916,CIELO PUNCO  12/,Creado 2021,Creado 2021,Creado 2021, 2 204, 2 235
080917,MANITEA  13/,Creado 2021,Creado 2021,Creado 2021, 3 531, 3 582
080918,UNIÓN ASHÁNINKA  15/,Creado 2021,Creado 2021,Creado 2021, 5 539, 5 723
081000,PARURO, 27 212, 26 964, 26 644, 26 450, 26 293
081001,PARURO, 3 473, 3 479, 3 474, 3 474, 3 475
081002,ACCHA, 3 224, 3 179, 3 125, 3 091, 3 064
081003,CCAPI, 3 221, 3 175, 3 121, 3 087, 3 059
081004,COLCHA,  999,  974,  948,  931,  916
081005,HUANOQUITE, 5 140, 5 116, 5 078, 5 057, 5 040
081006,OMACHA, 5 923, 5 891, 5 842, 5 814, 5 792
081007,PACCARITAMBO, 2 139, 2 118, 2 092, 2 076, 2 063
081008,PILLPINTO, 1 072, 1 054, 1 033, 1 020, 1 009
081009,YAURISQUE, 2 021, 1 978, 1 931, 1 900, 1 875
081100,PAUCARTAMBO, 47 175, 47 442, 47 579, 47 732, 47 866
081101,PAUCARTAMBO, 13 177, 13 323, 13 435, 13 536, 13 627
081102,CAICAY, 2 952, 3 005, 3 050, 3 089, 3 122
081103,CHALLABAMBA, 9 488, 9 468, 9 421, 9 398, 9 379
081104,COLQUEPATA, 9 004, 8 973, 8 915, 8 883, 8 858
081105,HUANCARANI, 7 689, 7 788, 7 866, 7 923, 7 966
081106,KOSÑIPATA, 4 865, 4 885, 4 892, 4 903, 4 914
081200,QUISPICANCHI, 98 076, 100 027, 101 735, 103 046, 104 148
081201,URCOS, 11 785, 11 984, 12 152, 12 279, 12 416
081202,ANDAHUAYLILLAS, 6 567, 6 760, 6 938, 7 095, 7 245
081203,CAMANTI, 2 502, 2 556, 2 603, 2 638, 2 668
081204,CCARHUAYO, 3 107, 3 136, 3 156, 3 172, 3 186
081205,CCATCA, 14 950, 15 039, 15 084, 15 122, 15 165
081206,CUSIPATA, 4 672, 4 673, 4 661, 4 654, 4 652
081207,HUARO, 4 860, 4 919, 4 965, 5 000, 5 032
081208,LUCRE, 4 971, 5 103, 5 223, 5 326, 5 423
081209,MARCAPATA, 4 873, 4 917, 4 947, 4 971, 4 994
081210,OCONGATE, 17 664, 18 147, 18 587, 18 796, 19 019
081211,OROPESA, 10 535, 11 054, 11 563, 12 050, 12 323
081212,QUIQUIJANA, 11 590, 11 739, 11 856, 11 943, 12 025
081300,URUBAMBA, 67 545, 68 877, 70 043, 70 938, 71 691
081301,URUBAMBA, 22 637, 23 222, 23 754, 24 178, 24 550
081302,CHINCHERO, 11 761, 12 043, 12 298, 12 498, 12 671
081303,HUAYLLABAMBA, 6 062, 6 192, 6 308, 6 395, 6 467
081304,MACHUPICCHU, 5 623, 5 671, 5 704, 5 729, 5 746
081305,MARAS, 6 670, 6 729, 6 769, 6 799, 6 822
081306,OLLANTAYTAMBO, 11 447, 11 642, 11 808, 11 918, 12 000
081307,YUCAY, 3 345, 3 378, 3 402, 3 421, 3 435
,,,,,,
090000,HUANCAVELICA, 376 346, 371 260, 365 317, 358 356, 350 845
090100,HUANCAVELICA, 123 958, 122 765, 121 265, 119 976, 118 575
090101,HUANCAVELICA, 42 325, 42 674, 42 858, 42 962, 43 082
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
090102,ACOBAMBILLA, 2 146, 2 027, 1 909, 1 807, 1 702
090103,ACORIA, 18 954, 18 013, 17 056, 16 315, 15 483
090104,CONAYCA,  909,  879,  848,  827,  804
090105,CUENCA, 1 191, 1 130, 1 071, 1 024,  975
090106,HUACHOCOLPA, 1 975, 1 893, 1 807, 1 745, 1 674
090107,HUAYLLAHUARA,  700,  681,  662,  651,  637
090108,IZCUCHACA,  923,  916,  905,  905,  906
090109,LARIA,  779,  747,  717,  694,  669
090110,MANTA, 1 006,  962,  917,  883,  846
090111,MARISCAL CÁCERES,  532,  514,  494,  482,  470
090112,MOYA, 1 025,  966,  911,  865,  814
090113,NUEVO OCCORO, 1 829, 1 769, 1 706, 1 664, 1 617
090114,PALCA, 2 102, 2 005, 1 906, 1 831, 1 746
090115,PILCHACA,  537,  528,  517,  512,  508
090116,VILCA, 2 008, 1 922, 1 834, 1 769, 1 695
090117,YAULI, 21 166, 20 557, 19 892, 19 291, 18 684
090118,ASCENSIÓN, 17 124, 17 963, 18 765, 19 388, 20 031
090119,HUANDO, 6 727, 6 619, 6 490, 6 361, 6 232
090200,ACOBAMBA, 40 672, 39 108, 37 503, 35 858, 34 179
090201,ACOBAMBA , 9 689, 9 652, 9 579, 9 468, 9 320
090202,ANDABAMBA, 3 396, 3 287, 3 171, 3 050, 2 922
090203,ANTA, 4 951, 4 718, 4 483, 4 244, 4 004
090204,CAJA, 1 962, 1 887, 1 809, 1 729, 1 645
090205,MARCAS, 1 633, 1 577, 1 519, 1 457, 1 394
090206,PAUCARÁ , 10 733, 9 911, 9 117, 8 355, 7 625
090207,POMACOCHA, 3 067, 2 973, 2 873, 2 766, 2 654
090208,ROSARIO, 5 241, 5 103, 4 952, 4 789, 4 615
090300,ANGARAES, 53 985, 54 015, 53 901, 52 928, 51 904
090301,LIRCAY, 25 639, 25 801, 25 891, 25 649, 25 384
090302,ANCHONGA, 7 734, 7 781, 7 805, 7 684, 7 557
090303,CALLANMARCA,  652,  634,  615,  585,  555
090304,CCOCHACCASA, 3 226, 3 216, 3 198, 3 118, 3 032
090305,CHINCHO, 1 014,  991,  967,  925,  885
090306,CONGALLA, 3 866, 3 831, 3 786, 3 677, 3 566
090307,HUANCA-HUANCA, 1 437, 1 423, 1 405, 1 360, 1 311
090308,HUAYLLAY GRANDE, 1 155, 1 103, 1 051,  982,  915
090309,JULCAMARCA, 1 879, 1 907, 1 929, 1 911, 1 889
090310,SAN ANTONIO DE ANTAPARCO, 2 513, 2 474, 2 429, 2 337, 2 243
090311,SANTO TOMÁS DE PATA, 1 555, 1 536, 1 513, 1 460, 1 405
090312,SECCLLA, 3 315, 3 318, 3 312, 3 240, 3 162
090400,CASTROVIRREYNA, 15 214, 14 917, 14 588, 14 227, 13 833
090401,CASTROVIRREYNA, 3 217, 3 199, 3 172, 3 134, 3 084
090402,ARMA, 1 042, 1 008,  972,  935,  895
090403,AURAHUA, 1 585, 1 543, 1 497, 1 447, 1 395
090404,CAPILLAS,  980,  948,  915,  880,  844
090405,CHUPAMARCA,  964,  950,  935,  916,  894
090406,COCAS,  768,  754,  737,  718,  699
090407,HUACHOS,  985,  933,  880,  828,  777
090408,HUAMATAMBO,  423,  422,  418,  415,  408
090409,MOLLEPAMPA, 1 253, 1 229, 1 201, 1 172, 1 138
090410,SAN JUAN,  745,  758,  769,  777,  784
090411,SANTA ANA,  943,  886,  834,  783,  735
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
090412,TANTARÁ,  705,  699,  691,  680,  668
090413,TICRAPO, 1 604, 1 588, 1 567, 1 542, 1 512
090500,CHURCAMPA, 35 290, 34 625, 33 883, 33 066, 32 173
090501,CHURCAMPA, 5 562, 5 534, 5 493, 5 441, 5 376
090502,ANCO, 5 941, 5 896, 5 833, 5 757, 5 667
090503,CHINCHIHUASI, 2 084, 1 987, 1 889, 1 789, 1 687
090504,EL CARMEN, 2 611, 2 576, 2 533, 2 482, 2 423
090505,LA MERCED, 1 173, 1 178, 1 179, 1 183, 1 186
090506,LOCROJA, 3 596, 3 534, 3 464, 3 379, 3 284
090507,PAUCARBAMBA, 4 721, 4 544, 4 362, 4 167, 3 966
090508,SAN MIGUEL DE MAYOCC,  801,  777,  751,  726,  699
090509,SAN PEDRO DE CORIS, 3 664, 3 604, 3 535, 3 452, 3 357
090510,PACHAMARCA, 1 997, 1 930, 1 861, 1 791, 1 718
090511,COSME , 3 140, 3 065, 2 983, 2 899, 2 810
090600,HUAYTARÁ, 18 833, 18 529, 18 182, 17 793, 17 361
090601,HUAYTARÁ, 2 371, 2 375, 2 374, 2 365, 2 350
090602,AYAVI,  833,  833,  830,  824,  816
090603,CORDOVA, 1 058,  991,  927,  865,  801
090604,HUAYACUNDO ARMA,  485,  488,  488,  492,  494
090605,LARAMARCA,  905,  892,  876,  855,  829
090606,OCOYO,  858,  795,  735,  684,  631
090607,PILPICHACA, 3 038, 2 973, 2 899, 2 799, 2 691
090608,QUERCO, 1 151, 1 183, 1 211, 1 241, 1 272
090609,QUITO-ARMA,  745,  733,  718,  699,  676
090610,SAN ANTONIO DE CUSICANCHA, 1 473, 1 455, 1 431, 1 399, 1 362
090611,SAN FRANCISCO DE SANGAYAICO,  998, 1 015, 1 029, 1 043, 1 055
090612,SAN ISIDRO, 1 149, 1 150, 1 148, 1 142, 1 133
090613,SANTIAGO DE CHOCORVOS, 1 812, 1 706, 1 600, 1 492, 1 381
090614,SANTIAGO DE QUIRAHUARA,  397,  377,  356,  333,  311
090615,SANTO DOMINGO DE CAPILLAS,  801,  778,  751,  725,  697
090616,TAMBO,  759,  785,  809,  835,  862
090700,TAYACAJA, 88 394, 87 301, 85 995, 84 508, 82 820
090701,PAMPAS  , 10 892, 11 101, 11 278, 11 419, 11 515
090702,ACOSTAMBO, 3 530, 3 453, 3 365, 3 269, 3 166
090703,ACRAQUIA, 3 772, 3 664, 3 548, 3 424, 3 293
090704,AHUAYCHA, 4 154, 4 071, 3 978, 3 873, 3 758
090705,COLCABAMBA     , 12 206, 12 112, 11 989, 11 822, 11 614
090706,DANIEL HERNANDEZ  , 9 959, 9 996, 10 002, 10 033, 10 052
090707,HUACHOCOLPA 1/, 3 433, 3 320, 2 426, 2 380, 2 329
090709,HUARIBAMBA   , 3 222, 3 141, 3 052, 2 955, 2 852
090710,ÑAHUIMPUQUIO, 1 573, 1 527, 1 479, 1 426, 1 372
090711,PAZOS, 5 513, 5 361, 5 198, 5 021, 4 834
090713,QUISHUAR,  779,  767,  752,  736,  718
090714,SALCABAMBA, 4 166, 4 090, 4 005, 3 907, 3 799
090715,SALCAHUASI, 2 884, 2 813, 2 734, 2 648, 2 557
090716,SAN MARCOS DE ROCCHAC, 1 959, 1 875, 1 789, 1 703, 1 613
090717,SURCUBAMBA  1/, 5 099, 5 104, 4 236, 4 158, 4 068
090718,TINTAY PUNCU  4/, 3 219, 3 057, 2 893, 1 677, 1 575
090719,QUICHUAS   , 4 307, 4 301, 4 281, 4 246, 4 198
090720,ANDAYMARCA  , 2 630, 2 650, 2 662, 2 671, 2 677
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
090721,ROBLE   , 1 374, 1 294, 1 216, 1 140, 1 066
090722,PICHOS   , 2 076, 1 986, 1 894, 1 800, 1 705
090723,SANTIAGO DE TUCUMA  , 1 647, 1 618, 1 585, 1 545, 1 503
090724,LAMBRAS 1/,Creado 2020,Creado 2021, 1 633, 1 603, 1 568
090725,COCHABAMBA  4/,Creado 2021,Creado 2021,Creado 2021, 1 052,  988
,,,,,,
100000,HUÁNUCO, 757 467, 759 851, 760 267, 758 416, 755 213
100100,HUÁNUCO, 307 723, 312 201, 315 799, 318 371, 320 269
100101,HUÁNUCO, 92 440, 94 200, 95 540, 96 397, 97 086
100102,AMARILIS , 85 811, 87 373, 88 635, 89 553, 90 762
100103,CHINCHAO     , 13 316, 13 262, 13 159, 13 015, 12 920
100104,CHURUBAMBA, 16 764, 16 080, 15 364, 14 619, 13 954
100105,MARGOS   , 4 514, 4 312, 4 120, 3 935, 3 784
100106,QUISQUI    , 3 637, 3 454, 3 279, 3 108, 2 963
100107,SAN FRANCISCO DE CAYRÁN , 4 897, 4 881, 4 847, 4 798, 4 767
100108,SAN PEDRO DE CHAULÁN   , 3 502, 3 074, 2 748, 2 538, 2 484
100109,SANTA MARÍA DEL VALLE , 21 395, 21 672, 21 872, 21 987, 22 123
100110,YARUMAYO, 1 590, 1 588, 1 584, 1 578, 1 578
100111,PILLCO MARCA  , 46 137, 48 775, 51 354, 53 829, 55 072
100112,YACUS  , 5 293, 5 200, 5 092, 4 965, 4 857
100113,SAN PABLO DE PILLAO   , 8 427, 8 330, 8 205, 8 049, 7 919
100200,AMBO, 53 549, 53 474, 53 247, 52 850, 52 348
100201,AMBO, 22 143, 22 746, 23 267, 23 696, 24 054
100202,CAYNA, 2 577, 2 486, 2 391, 2 290, 2 188
100203,COLPAS, 1 770, 1 700, 1 629, 1 555, 1 482
100204,CONCHAMARCA, 4 644, 4 533, 4 411, 4 276, 4 135
100205,HUÁCAR, 8 100, 8 090, 8 053, 7 994, 7 920
100206,SAN FRANCISCO, 1 565, 1 467, 1 374, 1 284, 1 199
100207,SAN RAFAEL, 9 223, 9 009, 8 772, 8 508, 8 230
100208,TOMAY KICHWA, 3 527, 3 443, 3 350, 3 247, 3 140
100300,DOS DE MAYO, 34 376, 33 436, 32 427, 31 346, 30 239
100301,LA UNIÓN, 6 992, 7 056, 7 093, 7 102, 7 108
100307,CHUQUIS, 3 395, 3 262, 3 123, 2 980, 2 833
100311,MARÍAS, 5 867, 5 714, 5 547, 5 363, 5 170
100313,PACHAS, 5 543, 5 179, 4 821, 4 470, 4 131
100316,QUIVILLA, 1 218, 1 156, 1 094, 1 031,  968
100317,RIPAN, 5 502, 5 422, 5 324, 5 208, 5 078
100321,SHUNQUI, 1 701, 1 636, 1 567, 1 496, 1 423
100322,SILLAPATA, 1 824, 1 744, 1 662, 1 578, 1 493
100323,YANAS, 2 334, 2 267, 2 196, 2 118, 2 035
100400,HUACAYBAMBA, 16 939, 16 677, 16 372, 16 020, 15 644
100401,HUACAYBAMBA, 5 950, 5 888, 5 809, 5 711, 5 602
100402,CANCHABAMBA, 2 775, 2 754, 2 725, 2 688, 2 645
100403,COCHABAMBA, 1 611, 1 533, 1 454, 1 375, 1 297
100404,PINRA, 6 603, 6 502, 6 384, 6 246, 6 100
100500,HUAMALÍES, 54 108, 53 168, 52 095, 50 876, 49 585
100501,LLATA, 13 925, 13 842, 13 718, 13 583, 13 439
100502,ARANCAY, 1 381, 1 351, 1 316, 1 278, 1 237
100503,CHAVÍN DE PARIARCA, 3 938, 3 908, 3 866, 3 808, 3 739
100504,JACAS GRANDE, 5 992, 5 958, 5 906, 5 828, 5 735
100505,JIRCÁN, 1 428, 1 338, 1 249, 1 163, 1 079
100506,MIRAFLORES, 3 180, 3 156, 3 124, 3 077, 3 023
100507,MONZÓN, 12 980, 12 540, 12 077, 11 578, 11 068
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
100508,PUNCHAO, 2 032, 2 006, 1 976, 1 937, 1 893
100509,PUÑOS, 4 240, 4 199, 4 146, 4 075, 3 995
100510,SINGA, 3 182, 3 115, 3 039, 2 952, 2 861
100511,TANTAMAYO, 1 830, 1 755, 1 678, 1 597, 1 516
100600,LEONCIO PRADO, 134 572, 136 609, 138 275, 139 505, 140 453
100601,RUPA-RUPA   , 55 795, 57 034, 58 126, 59 087, 59 894
100602,DANIEL ALOMÍA ROBLES, 6 833, 6 867, 6 880, 6 887, 6 890
100603,HERMILIO VALDIZÁN   , 3 707, 3 704, 3 691, 3 668, 3 635
100604,JOSÉ CRESPO Y CASTILLO       , 23 280, 23 581, 23 817, 23 875, 23 918
100605,LUYANDO , 9 335, 9 424, 9 485, 9 505, 9 519
